TimePeriod,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2021,UHF42,102,4,Northeast Bronx,11.8,12.2,197
2021,UHF42,103,4,Fordham - Bronx Pk,11.9,11.6,229
2021,UHF42,104,4,Pelham - Throgs Neck,11.8,12.3,281
2021,UHF42,105,4,Crotona - Tremont,18.8,18.5,287
2021,UHF42,106,4,High Bridge - Morrisania,17.0,17.0,269
2021,UHF42,107,4,Hunts Point - Mott Haven,19.9,19.9,204
2021,UHF42,201,4,Greenpoint,1.4,1.3,14
2021,UHF42,202,4,Downtown - Heights - Slope,4.7,4.1,89
2021,UHF42,203,4,Bedford Stuyvesant - Crown Heights,6.5,6.4,174
2021,UHF42,204,4,East New York,8.0,8.1,122
2021,UHF42,205,4,Sunset Park,3.7,3.5,33
2021,UHF42,206,4,Borough Park,1.9,1.9,45
2021,UHF42,207,4,East Flatbush - Flatbush,5.7,5.9,139
2021,UHF42,208,4,Canarsie - Flatlands,5.0,5.0,83
2021,UHF42,209,4,Bensonhurst - Bay Ridge,1.2,1.3,22
2021,UHF42,210,4,Coney Island - Sheepshead Bay,4.3,4.3,100
2021,UHF42,211,4,Williamsburg - Bushwick,6.6,6.1,104
2021,UHF42,301,4,Washington Heights,5.9,6.0,131
2021,UHF42,302,4,Central Harlem - Morningside Heights,9.3,9.1,132
2021,UHF42,303,4,East Harlem,9.5,9.7,87
2021,UHF42,304,4,Upper West Side,2.3,2.1,39
2021,UHF42,305,4,Upper East Side,1.8,1.7,29
2021,UHF42,306,4,Chelsea - Clinton,3.6,3.6,49
2021,UHF42,307,4,Gramercy Park - Murray Hill,2.0,1.8,21
2021,UHF42,308,4,Greenwich Village - SoHo,0.9*,0.7*,5*
2021,UHF42,309,4,Union Square - Lower East Side,4.9,5.1,81
2021,UHF42,310,4,Lower Manhattan,2.7,2.3,12
2021,UHF42,401,4,Long Island City - Astoria,3.0,3.0,51
2021,UHF42,402,4,West Queens,3.2,3.3,120
2021,UHF42,403,4,Flushing - Clearview,1.8,1.9,40
2021,UHF42,404,4,Bayside - Little Neck,2.4,2.7,20
2021,UHF42,405,4,Ridgewood - Forest Hills,1.8,1.9,40
2021,UHF42,406,4,Fresh Meadows,4.0,4.1,32
2021,UHF42,407,4,Southwest Queens,4.6,4.7,104
2021,UHF42,408,4,Jamaica,7.0,7.2,189
2021,UHF42,409,4,Southeast Queens,4.5,4.8,85
2021,UHF42,410,4,Rockaways,4.1,4.2,42
2021,UHF42,501,4,Port Richmond,4.7,4.7,25
2021,UHF42,502,4,Stapleton - St. George,6.7,6.9,70
2021,UHF42,503,4,Willowbrook,1.7,2.0,15
2021,UHF42,504,4,South Beach - Tottenville,2.3,2.4,38
2021,Borough,1,1,Bronx,14.0,14.3,"1,535"
2021,Borough,2,1,Brooklyn,4.6,4.6,947
2021,Borough,3,1,Manhattan,4.4,4.4,601
2021,Borough,4,1,Queens,3.8,4.0,742
2021,Borough,5,1,Staten Island,3.8,3.9,150
2021,Citywide,1,0,New York City,5.7,5.9,"3,975"
2020,CD,101,6,Financial District (CD1),1.2*,1.1*,6*
2020,CD,102,6,Greenwich Village and Soho (CD2),0.6*,0.6*,5*
2020,CD,103,6,Lower East Side and Chinatown (CD3),3.9,4.0,60
2020,CD,104,6,Clinton and Chelsea (CD4),2.3,2.1,29
2020,CD,105,6,Midtown (CD5),3.2,3.1,18
2020,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),1.2,1.2,16
2020,CD,107,6,Upper West Side (CD7),2.3,2.5,47
2020,CD,108,6,Upper East Side (CD8),1.5,1.7,34
2020,CD,109,6,Morningside Heights and Hamilton Heights (CD9),5.3,4.9,45
2020,CD,110,6,Central Harlem (CD10),12.1,11.9,109
2020,CD,111,6,East Harlem (CD11),10.1,10.1,99
2020,CD,112,6,Washington Heights and Inwood (CD12),5.3,5.5,87
2020,CD,201,6,Mott Haven and Melrose (CD1),26.3,26.2,189
2020,CD,202,6,Hunts Point and Longwood (CD2),16.4,16.2,67
2020,CD,203,6,Morrisania and Crotona (CD3),17.3,17.1,112
2020,CD,204,6,Highbridge and Concourse (CD4),14.0,14.0,162
2020,CD,205,6,Fordham and University Heights (CD5),14.3,13.6,135
2020,CD,206,6,Belmont and East Tremont (CD6),21.3,20.5,129
2020,CD,207,6,Kingsbridge Heights and Bedford (CD7),12.3,12.0,134
2020,CD,208,6,Riverdale and Fieldston (CD8),3.3,3.7,31
2020,CD,209,6,Parkchester and Soundview (CD9),13.8,14.2,202
2020,CD,210,6,Throgs Neck and Co-op City (CD10),6.2,7.0,69
2020,CD,211,6,Morris Park and Bronxdale (CD11),9.7,10.0,91
2020,CD,212,6,Williamsbridge and Baychester (CD12),13.1,13.5,162
2020,CD,301,6,Greenpoint and Williamsburg (CD1),3.6,2.9,47
2020,CD,302,6,Fort Greene and Brooklyn Heights (CD2),4.3,3.7,44
2020,CD,303,6,Bedford Stuyvesant (CD3),9.2,9.0,106
2020,CD,304,6,Bushwick (CD4),7.0,6.6,57
2020,CD,305,6,East New York and Starrett City (CD5),9.5,9.6,129
2020,CD,306,6,Park Slope and Carroll Gardens (CD6),4.7,3.9,37
2020,CD,307,6,Sunset Park (CD7),4.0,3.6,38
2020,CD,308,6,Crown Heights and Prospect Heights (CD8),6.3,6.1,49
2020,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),7.0,7.2,57
2020,CD,310,6,Bay Ridge and Dyker Heights (CD10),0.9,1.0,12
2020,CD,311,6,Bensonhurst (CD11),1.4,1.5,25
2020,CD,312,6,Borough Park (CD12),1.5,1.5,21
2020,CD,313,6,Coney Island (CD13),5.7,6.4,59
2020,CD,314,6,Flatbush and Midwood (CD14),5.0,5.1,66
2020,CD,315,6,Sheepshead Bay (CD15),1.9,1.9,28
2020,CD,316,6,Brownsville (CD16),14.5,14.6,90
2020,CD,317,6,East Flatbush (CD17),7.1,7.1,89
2020,CD,318,6,Flatlands and Canarsie (CD18),4.8,5.0,76
2020,CD,401,6,Long Island City and Astoria (CD1),2.5,2.4,41
2020,CD,402,6,Woodside and Sunnyside (CD2),1.2,1.1,15
2020,CD,403,6,Jackson Heights (CD3),2.6,2.7,39
2020,CD,404,6,Elmhurst and Corona (CD4),3.6,3.7,55
2020,CD,405,6,Ridgewood and Maspeth (CD5),2.7,2.7,35
2020,CD,406,6,Rego Park and Forest Hills (CD6),1.8,2.1,21
2020,CD,407,6,Flushing and Whitestone (CD7),1.9,2.0,44
2020,CD,408,6,Hillcrest and Fresh Meadows (CD8),2.5,2.5,32
2020,CD,409,6,Kew Gardens and Woodhaven (CD9),3.9,4.0,46
2020,CD,410,6,South Ozone Park and Howard Beach (CD10),3.4,3.8,38
2020,CD,411,6,Bayside and Little Neck (CD11),1.0,1.3,13
2020,CD,412,6,Jamaica and Hollis (CD12),5.9,6.4,120
2020,CD,413,6,Queens Village (CD13),4.6,4.9,78
2020,CD,414,6,Rockaway and Broad Channel (CD14),5.8,5.9,51
2020,CD,501,6,St. George and Stapleton (CD1),4.7,4.7,69
2020,CD,502,6,South Beach and Willowbrook (CD2),3.6,3.9,44
2020,CD,503,6,Tottenville and Great Kills (CD3),1.9,2.0,26
2020,UHF42,101,4,Kingsbridge - Riverdale,3.4,3.7,28
2020,UHF42,102,4,Northeast Bronx,9.0,9.6,159
2020,UHF42,103,4,Fordham - Bronx Pk,13.4,13.1,266
2020,UHF42,104,4,Pelham - Throgs Neck,10.8,11.3,268
2020,UHF42,105,4,Crotona - Tremont,16.6,16.1,253
2020,UHF42,106,4,High Bridge - Morrisania,17.8,17.8,288
2020,UHF42,107,4,Hunts Point - Mott Haven,21.6,21.4,221
2020,UHF42,201,4,Greenpoint,2.9,2.4,28
2020,UHF42,202,4,Downtown - Heights - Slope,4.1,3.5,79
2020,UHF42,203,4,Bedford Stuyvesant - Crown Heights,8.0,7.9,218
2020,UHF42,204,4,East New York,8.5,8.6,130
2020,UHF42,205,4,Sunset Park,3.7,3.5,34
2020,UHF42,206,4,Borough Park,2.0,2.1,51
2020,UHF42,207,4,East Flatbush - Flatbush,6.6,6.9,167
2020,UHF42,208,4,Canarsie - Flatlands,5.0,5.2,87
2020,UHF42,209,4,Bensonhurst - Bay Ridge,1.3,1.5,25
2020,UHF42,210,4,Coney Island - Sheepshead Bay,3.5,3.9,93
2020,UHF42,211,4,Williamsburg - Bushwick,7.3,6.7,118
2020,UHF42,301,4,Washington Heights,4.7,4.8,108
2020,UHF42,302,4,Central Harlem - Morningside Heights,9.1,8.8,133
2020,UHF42,303,4,East Harlem,10.3,10.3,95
2020,UHF42,304,4,Upper West Side,2.3,2.6,51
2020,UHF42,305,4,Upper East Side,1.6,1.8,34
2020,UHF42,306,4,Chelsea - Clinton,3.1,2.9,44
