TimePeriod,GeoType,GeoID,GeoRank,Geography,"Estimated annual rate per 10,000",Number
2021,UHF42,210,4,Coney Island - Sheepshead Bay,3.0,13
2021,UHF42,211,4,Williamsburg - Bushwick,13.9,53
2021,UHF42,301,4,Washington Heights,17.2,57
2021,UHF42,302,4,Central Harlem - Morningside Heights,34.6,84
2021,UHF42,303,4,East Harlem,25.6,42
2021,UHF42,304,4,Upper West Side,5.9,13
2021,UHF42,305,4,Upper East Side,3.9*,8*
2021,UHF42,306,4,Chelsea - Clinton,11.0*,9*
2021,UHF42,307,4,Gramercy Park - Murray Hill,6.1*,4*
2021,UHF42,308,4,Greenwich Village - SoHo,3.4*,2*
2021,UHF42,309,4,Union Square - Lower East Side,8.2,13
2021,UHF42,310,4,Lower Manhattan,12.9*,6*
2021,UHF42,401,4,Long Island City - Astoria,5.3,11
2021,UHF42,402,4,West Queens,8.4,54
2021,UHF42,403,4,Flushing - Clearview,4.0,12
2021,UHF42,404,4,Bayside - Little Neck,3.8*,5*
2021,UHF42,405,4,Ridgewood - Forest Hills,5.4,19
2021,UHF42,406,4,Fresh Meadows,2.8*,4*
2021,UHF42,407,4,Southwest Queens,9.2,43
2021,UHF42,408,4,Jamaica,10.1,48
2021,UHF42,409,4,Southeast Queens,8.6,26
2021,UHF42,410,4,Rockaways,6.8,16
2021,UHF42,501,4,Port Richmond,16.4,23
2021,UHF42,502,4,Stapleton - St. George,8.7,17
2021,UHF42,503,4,Willowbrook,2.1*,3*
2021,UHF42,504,4,South Beach - Tottenville,2.6*,8*
2021,Borough,1,1,Bronx,25.7,645
2021,Borough,2,1,Brooklyn,10.5,433
2021,Borough,3,1,Manhattan,15.2,242
2021,Borough,4,1,Queens,7.7,251
2021,Borough,5,1,Staten Island,6.6,52
2021,Citywide,1,0,New York City,13.2,"1,623"
2020,CD,102,6,Greenwich Village and Soho (CD2),1.8*,1*
2020,CD,103,6,Lower East Side and Chinatown (CD3),3.6*,6*
2020,CD,104,6,Clinton and Chelsea (CD4),7.4*,6*
2020,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),6.8*,5*
2020,CD,107,6,Upper West Side (CD7),3.2*,7*
2020,CD,108,6,Upper East Side (CD8),0.9*,2*
2020,CD,109,6,Morningside Heights and Hamilton Heights (CD9),16.1,21
2020,CD,110,6,Central Harlem (CD10),20.0,34
2020,CD,111,6,East Harlem (CD11),20.5,38
2020,CD,112,6,Washington Heights and Inwood (CD12),10.1,25
2020,CD,201,6,Mott Haven and Melrose (CD1),27.1,54
2020,CD,202,6,Hunts Point and Longwood (CD2),23.4,26
2020,CD,203,6,Morrisania and Crotona (CD3),15.1,29
2020,CD,204,6,Highbridge and Concourse (CD4),14.6,43
2020,CD,205,6,Fordham and University Heights (CD5),15.4,41
2020,CD,206,6,Belmont and East Tremont (CD6),17.7,32
2020,CD,207,6,Kingsbridge Heights and Bedford (CD7),10.9,29
2020,CD,208,6,Riverdale and Fieldston (CD8),14.6,21
2020,CD,209,6,Parkchester and Soundview (CD9),14.9,49
2020,CD,210,6,Throgs Neck and Co-op City (CD10),5.0*,9*
2020,CD,211,6,Morris Park and Bronxdale (CD11),10.6,20
2020,CD,212,6,Williamsbridge and Baychester (CD12),19.4,53
2020,CD,301,6,Greenpoint and Williamsburg (CD1),3.0*,10*
